zip,area,median_sale_price,price_yoy_pct,median_ppsf,median_dom,sale_to_list_pct,sold_above_list_pct,off_market_2wk_pct,homes_sold_3m_avg,inventory,appreciation_5y_pct,heat_index,heat_index_year_ago,volume_tier,heat_momentum,value_gap_pct,flag
23229,Tuckahoe/River Road (Henrico),486667.0,-4.5,288.0,13.0,104.1,57.0,63.0,101.0,31.0,44.3,96.3,93.4,high volume,2.9,5.0,LISTING GOLDMINE
23103,Manakin-Sabot (Goochland),965785.0,10.5,281.0,5.0,109.4,68.8,59.0,44.7,27.0,32.2,96.3,66.3,high volume,30.0,-7.0,LISTING GOLDMINE
23226,Libbie-Grove/Westhampton (Richmond),601333.0,10.8,374.0,10.0,103.9,55.1,59.5,73.3,26.0,39.0,93.9,93.4,high volume,0.5,-0.2,LISTING GOLDMINE
23221,Museum District/Carytown (Richmond),641967.0,-8.7,381.0,15.0,103.3,47.5,66.4,57.0,19.0,40.1,92.2,98.6,high volume,-6.4,0.9,
23236,N. Chesterfield/Robious,397167.0,1.6,207.0,14.0,101.3,53.2,62.8,92.0,35.0,42.4,91.2,76.0,high volume,15.2,3.1,LISTING GOLDMINE
23069,Hanover Courthouse,465733.0,5.8,249.0,9.0,101.6,42.1,64.5,7.7,10.0,45.2,89.9,61.6,thin (<10 sales/mo),28.3,6.0,LISTING GOLDMINE
23235,Bon Air (Chesterfield),443325.0,1.5,222.0,16.0,101.8,49.0,55.6,121.7,34.0,48.0,86.5,69.1,high volume,17.4,8.8,LISTING GOLDMINE
23113,Midlothian/Salisbury (Chesterfield),637917.0,-2.3,238.0,16.0,101.3,53.4,57.0,72.7,56.0,16.5,86.1,68.4,high volume,17.7,-22.8,LISTING GOLDMINE
23228,Glenside/Lakeside (Henrico),350650.0,0.1,244.0,12.0,100.9,42.2,58.3,103.0,31.0,44.0,82.8,78.3,high volume,4.5,4.8,LISTING GOLDMINE
23225,Westover Hills/Forest Hill (Richmond),408000.0,6.0,244.0,19.0,101.2,46.4,58.6,99.7,42.0,31.3,82.8,91.0,high volume,-8.2,-8.0,CATCH-UP BUY
23060,Glen Allen (Henrico),431667.0,-0.7,230.0,18.0,100.7,43.7,56.7,124.3,52.0,28.7,78.4,57.6,high volume,20.8,-10.6,CATCH-UP BUY
23238,Gayton/Tuckahoe West (Henrico),571167.0,12.5,255.0,18.0,100.8,38.9,59.1,79.7,33.0,85.6,78.0,60.9,high volume,17.1,46.3,
23227,Lakeside/Bellevue (Henrico),388750.0,-3.2,238.0,18.0,100.3,43.3,53.5,66.3,28.0,37.7,74.7,82.6,high volume,-7.9,-1.5,CATCH-UP BUY
23002,,379167.0,8.2,249.0,22.0,100.9,36.9,62.1,27.3,22.0,44.9,73.6,33.3,moderate,40.3,5.6,
23111,Mechanicsville (Hanover),419333.0,11.1,224.0,15.0,100.1,41.4,52.7,117.3,82.0,42.2,73.0,74.7,high volume,-1.7,3.0,
23089,,475000.0,20.4,244.0,16.0,99.9,37.8,61.6,10.7,12.0,57.1,72.3,67.9,moderate,4.4,17.8,
23150,Sandston (Henrico),319857.0,4.7,226.0,21.0,100.1,41.4,55.1,46.0,37.0,37.6,70.6,64.6,high volume,6.0,-1.6,CATCH-UP BUY
23116,Mechanicsville/Atlee (Hanover),550167.0,3.2,227.0,20.0,100.5,40.0,53.6,103.3,54.0,42.8,70.6,74.8,high volume,-4.2,3.5,
23112,Midlothian/Brandermill (Chesterfield),425438.0,-5.6,222.0,23.0,100.4,44.4,51.0,242.7,124.0,26.4,69.9,73.6,high volume,-3.7,-12.8,
23075,Highland Springs (Henrico),255000.0,-3.0,213.0,26.0,100.1,49.1,53.4,32.3,11.0,41.2,68.7,65.5,high volume,3.2,2.0,
23237,Chester North (Chesterfield),341000.0,6.2,221.0,26.0,100.7,48.2,47.3,78.3,23.0,30.9,68.4,53.5,high volume,14.9,-8.4,
23233,Short Pump/Innsbrook (Henrico),525245.0,-0.4,248.0,24.0,100.5,41.7,48.4,107.7,60.0,26.2,66.6,72.9,high volume,-6.3,-13.0,
23011,,502650.0,-10.0,249.0,18.0,99.8,55.6,39.8,4.3,2.0,33.5,65.2,45.8,thin (<10 sales/mo),19.4,-5.8,
23230,Scott's Addition/Willow Lawn (Richmond),441333.0,-6.2,306.0,24.0,101.1,34.1,52.4,36.3,21.0,11.4,64.9,66.0,high volume,-1.1,-27.8,
23838,Winterpock (Chesterfield),619824.0,10.5,215.0,26.0,100.8,39.5,47.9,56.0,48.0,44.5,62.5,33.7,high volume,28.8,5.2,
23231,Varina/Fulton (Henrico),360000.0,4.3,216.0,26.0,100.2,37.6,53.9,125.7,63.0,46.2,62.2,39.2,high volume,23.0,7.0,
